,會計項目,2013年03月31日,2012年12月31日,2012年03月31日,2012年01月01日
,資產負債表,資產負債表,資產負債表,資產負債表,資產負債表
0,資產,,,,
1,流動資產,,,,
2,現金及約當現金,,,,
3,現金及約當現金合計,18994984.0,25611406.0,18169976.0,22140268.0
4,透過損益按公允價值衡量之金融資產－流動,,,,
5,透過損益按公允價值衡量之金融資產－流動合計,271687.0,148527.0,2441874.0,3152664.0
6,備供出售金融資產－流動,,,,
7,備供出售金融資產－流動淨額,15066125.0,15751741.0,14649737.0,13721102.0
8,應收票據淨額,,,,
9,應收票據淨額,8919088.0,10437872.0,6656455.0,9813454.0
10,應收帳款淨額,,,,
11,應收帳款淨額,9489955.0,8779571.0,11934327.0,9236816.0
12,應收帳款－關係人淨額,,,,
13,應收帳款－關係人淨額,236032.0,281550.0,357794.0,413864.0
14,其他應收款－關係人,,,,
15,其他應收款－關係人淨額,1820536.0,2023957.0,1754071.0,1317188.0
16,存貨,,,,
17,存貨合計,10148150.0,9121692.0,10262283.0,10598551.0
18,預付款項,,,,
19,預付款項合計,4568191.0,3834946.0,4897823.0,5188493.0
20,其他流動資產,,,,
21,其他金融資產－流動,2503425.0,1785052.0,1621320.0,690227.0
22,其他流動資產－其他,5228182.0,2379472.0,2878977.0,4478650.0
23,其他流動資產合計,7731607.0,4164524.0,4500297.0,5168877.0
24,流動資產合計,77246355.0,80155786.0,75624637.0,80751277.0
25,非流動資產,,,,
26,備供出售金融資產－非流動,,,,
27,備供出售金融資產－非流動淨額,4775276.0,4534843.0,4385046.0,4036463.0
28,以成本衡量之金融資產－非流動,,,,
29,以成本衡量之金融資產－非流動淨額,616490.0,616193.0,661485.0,661778.0
30,採用權益法之投資,,,,
31,採用權益法之投資淨額,7460075.0,7181369.0,7042295.0,6857733.0
32,不動產、廠房及設備,,,,
33,不動產、廠房及設備合計,111042032.0,104432316.0,106682769.0,107400306.0
34,投資性不動產淨額,,,,
35,投資性不動產淨額,6085160.0,5874323.0,5893801.0,6143001.0
36,無形資產,,,,
37,無形資產合計,19111565.0,17282511.0,17562610.0,16848627.0
38,其他非流動資產,,,,
39,預付設備款,1381684.0,2652574.0,3091868.0,3558223.0
40,長期應收票據及款項,,,,
41,長期應收票據及款項淨額,36005176.0,36055231.0,36056856.0,36351175.0
42,預付投資款,365085.0,6408525.0,5533928.0,2808436.0
43,長期預付租金,6561730.0,6214544.0,5998920.0,6159431.0
44,其他非流動資產－其他,,,,
45,其他非流動資產－其他,2184605.0,2540271.0,2497585.0,2538109.0
46,其他非流動資產－其他合計,2184605.0,2540271.0,2497585.0,2538109.0
47,其他非流動資產合計,46498280.0,53871145.0,53179157.0,51415374.0
48,非流動資產合計,195588878.0,193792700.0,195407163.0,193363282.0
49,資產總額,272835233.0,273948486.0,271031800.0,274114559.0
50,負債,,,,
51,流動負債,,,,
52,短期借款,,,,
53,短期借款合計,18455981.0,18945086.0,17524267.0,18891513.0
54,應付短期票券,,,,
55,應付短期票券合計,4129331.0,4912171.0,3551107.0,4458344.0
56,應付帳款,,,,
57,應付帳款合計,8856139.0,7683392.0,8883347.0,8387893.0
58,應付帳款－關係人,,,,
59,應付帳款－關係人合計,205583.0,196682.0,233740.0,306697.0
60,其他應付款,,,,
61,其他應付款合計,9369864.0,9162750.0,6896131.0,7995043.0
62,當期所得稅負債,1416789.0,1266913.0,1383915.0,1294394.0
63,其他流動負債,,,,
64,預收款項,,,,
65,預收款項合計,2971595.0,2267023.0,2007476.0,1429426.0
66,一年或一營業週期內到期長期負債,,,,
67,一年或一營業週期內到期長期負債合計,19917934.0,21693156.0,19351805.0,17405662.0
68,其他流動負債－其他,589803.0,863026.0,613520.0,2093102.0
69,其他流動負債合計,23479332.0,24823205.0,21972801.0,20928190.0
70,流動負債合計,65913019.0,66990199.0,60445308.0,62262074.0
71,非流動負債,,,,
72,應付公司債,,,,
73,應付公司債合計,3500000.0,3500000.0,3500000.0,3500000.0
74,長期借款,,,,
75,長期借款合計,47803800.0,51367579.0,55444879.0,58988270.0
76,遞延所得稅負債,,,,
77,遞延所得稅負債合計,9353869.0,9321578.0,9293279.0,9293491.0
78,其他非流動負債,,,,
79,應計退休金負債（應付退休金費用）,303649.0,332765.0,388125.0,361956.0
80,其他非流動負債－其他,595198.0,630025.0,477174.0,548703.0
81,其他非流動負債合計,898847.0,962790.0,865299.0,910659.0
